gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Anthony Edwards,27.5,-116,-120,25.77,31,OVER,OVER,OVER,PLAYER,OVER,true,33.26,34.683,6.68,0.5,-1.73,-0.0084,UNDER
2025-11-05,PTS,Anthony Edwards,25.5,-118,-120.5,23.31,15,UNDER,UNDER,UNDER,PLAYER,UNDER,true,29.47,28.757,10.81,0.5,-2.19,-0.0052,UNDER
2025-11-07,PTS,Anthony Edwards,26.5,-115,-120,21.6,37,OVER,OVER,OVER,PLAYER,OVER,true,29.29,26.017,10.81,0.33,-4.9,-0.0106,UNDER
2025-11-09,PTS,Anthony Edwards,27.5,-122,-115,23.55,26,UNDER,UNDER,UNDER,PLAYER,UNDER,true,28.79,29.65,10.83,0.5,-3.95,0.0147,OVER
2025-11-10,PTS,Anthony Edwards,27.75,-122,-112.5,24.55,35,OVER,OVER,OVER,PLAYER,OVER,true,27.73,38,10.15,0,-3.2,0.0201,OVER
2025-11-14,PTS,Anthony Edwards,29,-120,-117.5,24.89,30,OVER,OVER,OVER,PLAYER,OVER,true,27.53,35.815,9.93,,-4.11,0.0052,OVER
2025-11-15,PTS,Anthony Edwards,28.5,-110.5,-123,26.85,26,UNDER,UNDER,OVER,PLAYER,UNDER,true,29.24,37.933,9.74,,-1.65,-0.0266,UNDER
2025-11-17,PTS,Anthony Edwards,27.5,-122,-115,27.99,13,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.33,29.4,10.03,,0.49,0.0147,OVER
2025-11-19,PTS,Anthony Edwards,28.5,-120,-119,26.77,18,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.26,36.467,10.04,,-1.73,0.0021,OVER
2025-11-21,PTS,Anthony Edwards,27.5,-117.5,-126,26.93,41,OVER,OVER,OVER,PLAYER,OVER,true,29.99,40.25,9.82,,-0.57,-0.0173,UNDER
2025-11-24,PTS,Anthony Edwards,28.5,-118.5,-120.5,28.51,43,OVER,OVER,OVER,PLAYER,OVER,true,30.54,40.25,10.22,,0.01,-0.0042,UNDER
2025-11-26,PTS,Anthony Edwards,25.5,-111.5,-131,28.82,31,OVER,OVER,OVER,PLAYER,OVER,true,34.25,40.1,5,,3.32,-0.0399,UNDER
2025-11-29,PTS,Anthony Edwards,28.5,-117,-117.5,30.77,39,UNDER,UNDER,UNDER,PLAYER,OVER,false,35.39,37.267,4.91,,2.27,-0.0011,UNDER
2025-11-30,PTS,Anthony Edwards,28.5,-113,-120,30.64,32,OVER,OVER,UNDER,PLAYER,OVER,true,36.51,35.983,3.79,,2.14,-0.0149,UNDER
2025-12-02,PTS,Anthony Edwards,28.5,-121,-115,30.82,44,OVER,OVER,UNDER,PLAYER,OVER,true,37.15,47.45,3.05,,2.32,0.0126,OVER
2025-12-04,PTS,Anthony Edwards,29.5,-113.5,-119,31.95,11,UNDER,UNDER,UNDER,PLAYER,UNDER,true,38.09,31.367,4.35,,2.45,-0.0118,UNDER
2025-12-06,PTS,Anthony Edwards,29.5,-120.5,-115,30.47,15,UNDER,UNDER,UNDER,PLAYER,UNDER,true,37.65,37.2,4.77,,0.97,0.0116,OVER
2025-12-08,PTS,Anthony Edwards,27.5,-119,-120.5,29.5,40,OVER,OVER,UNDER,PLAYER,OVER,true,37.57,38.05,4.77,,2,-0.0031,UNDER
2025-12-19,PTS,Anthony Edwards,25.5,-119.5,-122.5,29.61,26,OVER,OVER,UNDER,PLAYER,OVER,true,38.44,40.765,3.92,,4.11,-0.0061,UNDER
2025-12-21,PTS,Anthony Edwards,27.5,-120,-121,29.7,24,UNDER,UNDER,UNDER,PLAYER,UNDER,true,38.87,36.663,3.91,,2.2,-0.0021,UNDER
2025-12-23,PTS,Anthony Edwards,28.5,-120,-120,29.12,38,OVER,OVER,UNDER,PLAYER,OVER,true,38.51,37.167,3.94,,0.62,0,NEUTRAL
2025-12-25,PTS,Anthony Edwards,30.5,-120,-115,30.36,44,OVER,OVER,UNDER,PLAYER,OVER,true,38.2,42.258,3.91,,-0.14,0.0106,OVER
2025-12-27,PTS,Anthony Edwards,27.5,-115,-127,30.16,28,OVER,OVER,UNDER,PLAYER,OVER,true,38.42,34.7,4.06,,2.66,-0.0246,UNDER
2025-12-29,PTS,Anthony Edwards,30.5,-121,-118,30.64,23,UNDER,UNDER,UNDER,PLAYER,UNDER,true,38.16,32.25,4.21,,0.14,0.0062,OVER
2025-12-31,PTS,Anthony Edwards,29.5,-118.5,-116.5,29.22,30,OVER,OVER,UNDER,PLAYER,OVER,true,37.79,33.117,4.54,,-0.28,0.0042,OVER
2026-01-03,PTS,Anthony Edwards,29.5,-120,-115,29.52,33,OVER,OVER,UNDER,PLAYER,OVER,true,36.35,38.283,3.37,,0.02,0.0106,OVER
2026-01-04,PTS,Anthony Edwards,29.5,-130,-117,29.65,35,OVER,OVER,OVER,PLAYER,OVER,true,37.05,30.167,2.96,,0.15,0.026,OVER
2026-01-06,PTS,Anthony Edwards,28.5,-117.5,-123.5,28.6,26,OVER,OVER,UNDER,PLAYER,UNDER,false,36.34,29.167,3.61,,0.1,-0.0123,UNDER
2026-01-08,PTS,Anthony Edwards,29.5,-115,-120,28.5,25,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.45,37.348,4.13,,-1,-0.0106,UNDER
2026-01-10,PTS,Anthony Edwards,28.5,-116,-117,28.69,25,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.11,35.133,3.81,,0.19,-0.0021,UNDER
2026-01-11,PTS,Anthony Edwards,28.5,-118,-115,28.52,23,UNDER,UNDER,UNDER,PLAYER,UNDER,true,34.96,37.817,3.77,,0.02,0.0064,OVER
2026-01-17,PTS,Anthony Edwards,26.5,-120,-125,27.6,55,OVER,OVER,UNDER,PLAYER,OVER,true,35.02,40.1,3.81,,1.1,-0.0101,UNDER
2026-01-20,PTS,Anthony Edwards,31.5,-117,-115,30,38,OVER,OVER,OVER,PLAYER,OVER,true,34.81,39.2,3.44,,-1.5,0.0043,OVER
2026-01-22,PTS,Anthony Edwards,30.5,-120,-115,31.91,20,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.26,34.667,3.68,,1.41,0.0106,OVER
2026-01-25,PTS,Anthony Edwards,29.5,-125,-125,30.88,32,OVER,OVER,UNDER,PLAYER,OVER,true,35.5,34.433,3.56,,1.38,0,NEUTRAL
2026-01-28,PTS,Anthony Edwards,28.5,-115,-116.5,29.85,20,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.63,38.067,3.49,,1.35,-0.0032,UNDER
2026-01-29,PTS,Anthony Edwards,26.5,-120,-118,29,26,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.61,34.618,3.47,,2.5,0.0042,OVER
2026-01-31,PTS,Anthony Edwards,28.5,-119,-119.5,28.64,33,OVER,OVER,UNDER,PLAYER,OVER,true,36.05,38.733,3,,0.14,-0.001,UNDER
2026-02-02,PTS,Anthony Edwards,29.5,-117.5,-121.5,29.02,39,OVER,OVER,UNDER,PLAYER,OVER,true,37.01,39.683,2.01,,-0.48,-0.0083,UNDER
2026-02-04,PTS,Anthony Edwards,28.5,-120,-118,30.59,30,OVER,OVER,UNDER,PLAYER,OVER,true,37.25,37.767,2.17,,2.09,0.0042,OVER
2026-02-06,PTS,Anthony Edwards,29.5,-120,-119,30.85,35,OVER,OVER,OVER,PLAYER,OVER,true,37.51,37.35,2.05,,1.35,0.0021,OVER
2026-02-08,PTS,Anthony Edwards,27.5,-115,-121,30.49,23,OVER,OVER,UNDER,PLAYER,UNDER,false,37.46,34.867,2.05,,2.99,-0.0126,UNDER
2026-02-09,PTS,Anthony Edwards,29.5,-117,-121.5,29.56,30,OVER,OVER,UNDER,PLAYER,OVER,true,36.94,38.077,1.98,,0.06,-0.0094,UNDER
2026-02-11,PTS,Anthony Edwards,28.5,-125,-125,29.81,14,UNDER,UNDER,UNDER,PLAYER,UNDER,true,36.83,32.658,1.88,,1.31,0,NEUTRAL
2026-02-20,PTS,Anthony Edwards,28.5,-119.5,-115,27.47,40,OVER,OVER,OVER,PLAYER,OVER,true,33.78,37.767,6.02,,-1.03,0.0095,OVER
2026-02-22,PTS,Anthony Edwards,30.25,-124.5,-117.5,28.46,28,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.96,34.133,5.93,,-1.79,0.0143,OVER
2026-02-24,PTS,Anthony Edwards,28.5,-111,-125,27.84,34,OVER,OVER,OVER,PLAYER,OVER,true,33.51,38.333,5.87,,-0.66,-0.0295,UNDER
2026-02-26,PTS,Anthony Edwards,28.5,-121,-120,29.78,31,OVER,OVER,OVER,PLAYER,OVER,true,33.78,36.033,5.86,1,1.28,0.0021,OVER
2026-03-01,PTS,Anthony Edwards,29.5,-121,-120,29.44,21,UNDER,UNDER,UNDER,PLAYER,UNDER,true,33.56,39.05,5.78,1,-0.06,0.0021,OVER
2026-03-03,PTS,Anthony Edwards,28.5,-118,-125,28.67,41,OVER,OVER,OVER,PLAYER,OVER,true,33.66,37.267,5.83,1,0.17,-0.0143,UNDER
2026-03-05,PTS,Anthony Edwards,28.5,-118.5,-118.5,30.05,22,UNDER,UNDER,UNDER,PLAYER,UNDER,true,33.59,34.083,5.79,1,1.55,0,NEUTRAL
2026-03-07,PTS,Anthony Edwards,29.5,-112.5,-120.5,29.31,34,OVER,OVER,OVER,PLAYER,OVER,true,33.44,31.55,5.88,1,-0.19,-0.0171,UNDER
2025-10-24,REB,Anthony Edwards,5.5,-125,-115,5.16,4,UNDER,UNDER,UNDER,PLAYER,UNDER,true,33.26,34.683,6.68,0.5,-0.34,0.0207,OVER
2025-11-05,REB,Anthony Edwards,4.5,-134,-105,4.97,2,UNDER,UNDER,OVER,PLAYER,UNDER,true,29.47,28.757,10.81,0.5,0.47,0.0605,OVER
2025-11-07,REB,Anthony Edwards,5.5,100,-130,4.43,5,UNDER,UNDER,UNDER,PLAYER,UNDER,true,29.29,26.017,10.81,0.33,-1.07,-0.0652,UNDER
2025-11-09,REB,Anthony Edwards,4.5,-147,111.5,4.76,4,UNDER,UNDER,OVER,PLAYER,UNDER,true,28.79,29.65,10.83,0.5,0.26,0.1223,OVER
2025-11-10,REB,Anthony Edwards,5,-137,-110,5.04,6,OVER,OVER,UNDER,PLAYER,OVER,true,27.73,38,10.15,0,0.04,0.0542,OVER
2025-11-14,REB,Anthony Edwards,4.5,-153,116,5.07,4,UNDER,UNDER,OVER,PLAYER,UNDER,true,27.53,35.815,9.93,,0.57,0.1418,OVER
2025-11-15,REB,Anthony Edwards,4.5,-133.5,102,4.85,8,OVER,OVER,OVER,PLAYER,OVER,true,29.24,37.933,9.74,,0.35,0.0767,OVER
2025-11-17,REB,Anthony Edwards,5.5,-5,-136,4.93,4,UNDER,UNDER,UNDER,PLAYER,UNDER,true,30.33,29.4,10.03,,-0.57,-0.5287,UNDER
2025-11-19,REB,Anthony Edwards,4.5,-137,-115,5.05,2,UNDER,UNDER,UNDER,PLAYER,UNDER,true,30.26,36.467,10.04,,0.55,0.0432,OVER
2025-11-21,REB,Anthony Edwards,4.5,-137,-105,5.2,5,OVER,OVER,OVER,PLAYER,OVER,true,29.99,40.25,9.82,,0.7,0.0659,OVER
2025-11-24,REB,Anthony Edwards,5,-125,-135,4.97,7,OVER,OVER,UNDER,PLAYER,OVER,true,30.54,40.25,10.22,,-0.03,-0.0189,UNDER
2025-11-26,REB,Anthony Edwards,4.5,-138,0,5.44,8,OVER,OVER,UNDER,PLAYER,OVER,true,34.25,40.1,5,,0.94,,NEUTRAL
2025-11-29,REB,Anthony Edwards,5.5,-110,-130,5.39,2,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.39,37.267,4.91,,-0.11,-0.0414,UNDER
2025-11-30,REB,Anthony Edwards,5.5,116,-154.5,5.21,3,UNDER,UNDER,UNDER,PLAYER,UNDER,true,36.51,35.983,3.79,,-0.29,-0.1441,UNDER
2025-12-02,REB,Anthony Edwards,4.5,-137,-125,5.21,5,OVER,OVER,UNDER,PLAYER,OVER,true,37.15,47.45,3.05,,0.71,0.0225,OVER
2025-12-04,REB,Anthony Edwards,4.5,-140,105,5.23,6,OVER,OVER,UNDER,PLAYER,OVER,true,38.09,31.367,4.35,,0.73,0.0955,OVER
2025-12-06,REB,Anthony Edwards,4.5,-150,105.5,5.25,6,OVER,OVER,UNDER,PLAYER,OVER,true,37.65,37.2,4.77,,0.75,0.1134,OVER
2025-12-08,REB,Anthony Edwards,5.5,107.5,-145.5,5.15,9,OVER,OVER,UNDER,PLAYER,OVER,true,37.57,38.05,4.77,,-0.35,-0.1107,UNDER
2025-12-19,REB,Anthony Edwards,5.5,-101,-150,5.4,12,OVER,OVER,UNDER,PLAYER,OVER,true,38.44,40.765,3.92,,-0.1,-0.0975,UNDER
2025-12-21,REB,Anthony Edwards,5.5,-132.5,-111.5,6.43,4,UNDER,UNDER,UNDER,PLAYER,UNDER,true,38.87,36.663,3.91,,0.93,0.0427,OVER
2025-12-23,REB,Anthony Edwards,5.5,-102,-129,5.45,2,UNDER,UNDER,UNDER,PLAYER,UNDER,true,38.51,37.167,3.94,,-0.05,-0.0584,UNDER
2025-12-25,REB,Anthony Edwards,5.5,102,-137,5.37,6,OVER,OVER,UNDER,PLAYER,OVER,true,38.2,42.258,3.91,,-0.13,-0.083,UNDER
2025-12-27,REB,Anthony Edwards,5.5,102,-140,5.38,7,OVER,OVER,UNDER,PLAYER,OVER,true,38.42,34.7,4.06,,-0.12,-0.0883,UNDER
2025-12-29,REB,Anthony Edwards,5.5,-1,-137,5.39,2,UNDER,UNDER,UNDER,PLAYER,UNDER,true,38.16,32.25,4.21,,-0.11,-0.5682,UNDER
2025-12-31,REB,Anthony Edwards,4.5,-155,117,5.36,5,OVER,OVER,UNDER,PLAYER,OVER,true,37.79,33.117,4.54,,0.86,0.147,OVER
2026-01-03,REB,Anthony Edwards,5.5,5,-145,5.79,3,UNDER,UNDER,UNDER,PLAYER,UNDER,true,36.35,38.283,3.37,,0.29,0.3605,OVER
2026-01-04,REB,Anthony Edwards,4.75,-143.5,-11,5.16,6,OVER,OVER,UNDER,PLAYER,OVER,true,37.05,30.167,2.96,,0.41,0.4902,OVER
2026-01-06,REB,Anthony Edwards,5.5,1,-142,5.25,5,UNDER,UNDER,UNDER,PLAYER,UNDER,true,36.34,29.167,3.61,,-0.25,0.4033,OVER
2026-01-08,REB,Anthony Edwards,5.5,104,-137,4.68,7,UNDER,UNDER,UNDER,PLAYER,OVER,false,35.45,37.348,4.13,,-0.82,-0.0879,UNDER
