gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-04,PTS,13.5,13.5,13.5,-137,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Timberwolves @ Nuggets,underdog,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483560&market=points&filter=Nikola%20Jokic
2025-10-06,PTS,14.5,14.5,14.5,-137,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Raptors,underdog,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483250&market=points&filter=Nikola%20Jokic
2025-10-12,PTS,16.5,16.5,16.5,-137,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Clippers,underdog,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483260&market=points&filter=Nikola%20Jokic
2025-10-14,PTS,16.5,16.5,16.5,-137,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Bulls @ Nuggets,underdog,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483590&market=points&filter=Nikola%20Jokic
2025-10-23,AST,8.5,8.5,9.5,-137,104,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,draftkings,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists&filter=Nikola%20Jokic
2025-10-23,PTS,27.5,27.5,28.5,-116.5,-121.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=points&filter=Nikola%20Jokic
2025-10-23,REB,12.5,11.5,12.5,-126,-127,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds&filter=Nikola%20Jokic
2025-10-25,AST,9.5,8.5,9.5,100,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Suns @ Nuggets,riverscasino,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494030&market=assists&filter=Nikola%20Jokic
2025-10-25,PTS,27.5,27.5,28.5,-122,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Suns @ Nuggets,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494030&market=points&filter=Nikola%20Jokic
2025-10-25,REB,11.75,11.5,12.5,-133.5,-134.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Suns @ Nuggets,bet365,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494030&market=rebounds&filter=Nikola%20Jokic
2025-10-27,AST,9.5,8.5,9.5,-120,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Timberwolves,fanduel,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483730&market=assists&filter=Nikola%20Jokic
2025-10-27,PTS,26.5,25.5,29.5,-117,-122,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Timberwolves,bet365,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483730&market=points&filter=Nikola%20Jokic
2025-10-27,REB,11.5,10.5,11.5,-125,-110,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Timberwolves,fanatics,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483730&market=rebounds&filter=Nikola%20Jokic
2025-10-29,AST,9.5,8.5,9.5,-129,-107.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Pelicans @ Nuggets,fanatics,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494370&market=assists&filter=Nikola%20Jokic
2025-10-29,PTS,26.5,26.5,29.5,-108,-125,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Pelicans @ Nuggets,betmgm,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494370&market=points&filter=Nikola%20Jokic
2025-10-29,REB,12.5,11.5,12.5,-112,-134.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Pelicans @ Nuggets,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494370&market=rebounds&filter=Nikola%20Jokic
2025-10-31,AST,9.5,9.5,10.5,-133.5,-123.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Trail Blazers,hardrock,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483850&market=assists&filter=Nikola%20Jokic
2025-10-31,PTS,26.5,26.5,26.5,-114,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Trail Blazers,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483850&market=points&filter=Nikola%20Jokic
